DATE;SBC1;SBC2;SBC3;SBC4;INSIDE1;INSIDE2;OUTSIDE
2019-08-30 09:14:05;57.000;61.000;60.000;58.000;37.125;33.188;22.062
2019-08-30 09:14:22;57.000;61.000;60.000;58.000;37.125;33.250;22.062
2019-08-30 09:14:38;57.000;61.000;60.000;58.000;37.125;33.250;22.062
2019-08-30 09:14:55;57.000;61.000;60.000;58.000;37.188;33.312;22.062
2019-08-30 09:15:11;57.000;61.000;60.000;59.000;37.188;33.312;22.125
2019-08-30 09:15:27;57.000;61.000;60.000;59.000;37.188;33.312;22.062
2019-08-30 09:15:43;57.000;61.000;60.000;59.000;37.188;33.312;22.062
2019-08-30 09:16:00;57.000;61.000;60.000;59.000;37.250;33.375;22.062
2019-08-30 09:16:16;57.000;61.000;60.000;59.000;37.312;33.375;22.062
2019-08-30 09:16:32;57.000;61.000;60.000;59.000;37.312;33.438;22.000
2019-08-30 09:16:48;57.000;61.000;60.000;59.000;37.312;33.438;22.000
2019-08-30 09:17:04;57.000;61.000;60.000;59.000;37.438;33.438;21.938
2019-08-30 09:17:20;58.000;61.000;60.000;59.000;37.438;33.438;22.000
2019-08-30 09:17:37;57.000;61.000;60.000;59.000;37.500;33.500;22.062
2019-08-30 09:17:53;58.000;61.000;61.000;59.000;37.500;33.500;22.000
2019-08-30 09:18:09;57.000;61.000;61.000;59.000;37.500;33.562;22.062
2019-08-30 09:18:26;58.000;61.000;60.000;59.000;37.500;33.562;22.000
2019-08-30 09:18:42;58.000;61.000;60.000;59.000;37.562;33.562;22.000
2019-08-30 09:18:59;58.000;61.000;61.000;59.000;37.500;33.625;22.000
2019-08-30 09:19:15;58.000;62.000;61.000;59.000;37.500;33.625;22.062
2019-08-30 09:19:31;58.000;61.000;60.000;59.000;37.500;33.625;22.062
2019-08-30 09:19:48;58.000;61.000;60.000;60.000;37.625;33.688;22.062
2019-08-30 09:20:04;58.000;62.000;61.000;59.000;37.688;33.688;22.062
2019-08-30 09:20:20;58.000;62.000;61.000;59.000;37.688;33.750;22.000
2019-08-30 09:20:37;58.000;62.000;61.000;59.000;37.688;33.750;22.062
2019-08-30 09:20:53;58.000;62.000;61.000;59.000;37.688;33.750;22.062
2019-08-30 09:21:10;58.000;62.000;61.000;59.000;37.688;33.750;22.000
2019-08-30 09:21:26;58.000;62.000;61.000;60.000;37.750;33.812;22.062
2019-08-30 09:21:43;59.000;62.000;62.000;59.000;37.750;33.750;22.062
2019-08-30 09:21:59;59.000;62.000;61.000;60.000;37.875;33.812;22.062
2019-08-30 09:22:16;59.000;62.000;61.000;60.000;37.938;33.812;22.062
2019-08-30 09:22:32;58.000;62.000;61.000;60.000;37.812;33.875;22.062
2019-08-30 09:22:49;58.000;62.000;61.000;60.000;37.875;33.938;22.062
2019-08-30 09:23:05;58.000;62.000;62.000;60.000;37.812;33.938;22.062
2019-08-30 09:23:22;59.000;62.000;61.000;60.000;37.938;33.938;22.062
2019-08-30 09:23:38;58.000;62.000;61.000;60.000;38.000;33.938;22.062
2019-08-30 09:23:54;59.000;62.000;61.000;60.000;38.062;33.938;22.062
2019-08-30 09:24:11;59.000;62.000;61.000;60.000;38.000;34.000;22.062
2019-08-30 09:24:27;59.000;62.000;61.000;60.000;38.000;34.000;22.062
2019-08-30 09:24:43;59.000;62.000;61.000;60.000;38.000;34.000;22.062
2019-08-30 09:25:00;59.000;62.000;61.000;60.000;38.125;34.062;22.062
2019-08-30 09:25:16;59.000;62.000;62.000;60.000;38.062;34.062;22.062
2019-08-30 09:25:32;59.000;63.000;62.000;60.000;38.188;34.062;22.062
2019-08-30 09:25:49;59.000;62.000;62.000;60.000;38.188;34.062;22.062
2019-08-30 09:26:05;59.000;62.000;62.000;60.000;38.125;34.125;22.062
2019-08-30 09:26:21;59.000;62.000;62.000;60.000;38.188;34.125;22.125
2019-08-30 09:26:38;59.000;62.000;62.000;60.000;38.188;34.125;22.062
2019-08-30 09:26:54;59.000;62.000;62.000;60.000;38.250;34.125;22.000
2019-08-30 09:27:10;59.000;62.000;62.000;60.000;38.250;34.188;22.062
2019-08-30 09:27:27;59.000;63.000;62.000;60.000;38.312;34.188;22.062
2019-08-30 09:27:43;59.000;62.000;62.000;60.000;38.312;34.250;22.062
2019-08-30 09:27:59;59.000;63.000;62.000;60.000;38.312;34.250;22.062
2019-08-30 09:28:16;59.000;63.000;62.000;60.000;38.375;34.250;22.062
2019-08-30 09:28:32;59.000;63.000;62.000;60.000;38.438;34.250;22.062
2019-08-30 09:28:48;59.000;62.000;62.000;60.000;38.375;34.312;22.062
2019-08-30 09:29:05;59.000;63.000;62.000;60.000;38.312;34.312;22.125
2019-08-30 09:29:21;59.000;63.000;62.000;60.000;38.500;34.312;22.062
2019-08-30 09:29:37;59.000;63.000;62.000;60.000;38.500;34.312;22.062
2019-08-30 09:29:54;59.000;63.000;62.000;60.000;38.562;34.375;22.125
2019-08-30 09:30:10;59.000;63.000;62.000;60.000;38.500;34.375;22.062
2019-08-30 09:30:27;59.000;63.000;62.000;60.000;38.500;34.375;22.125
2019-08-30 09:30:43;59.000;63.000;62.000;60.000;38.375;34.375;22.062
2019-08-30 09:31:00;59.000;63.000;62.000;60.000;38.500;34.438;22.125
2019-08-30 09:31:16;59.000;63.000;62.000;61.000;38.375;34.438;22.062
2019-08-30 09:31:33;59.000;63.000;62.000;61.000;38.438;34.438;22.062
2019-08-30 09:31:49;59.000;63.000;62.000;61.000;38.562;34.438;22.062
2019-08-30 09:32:05;59.000;63.000;62.000;61.000;38.500;34.438;22.062
2019-08-30 09:32:22;59.000;63.000;62.000;61.000;38.562;34.500;22.125
2019-08-30 09:32:38;59.000;63.000;62.000;61.000;38.500;34.500;22.125
2019-08-30 09:32:55;59.000;63.000;62.000;61.000;38.562;34.500;22.062
2019-08-30 09:33:11;59.000;63.000;62.000;61.000;38.562;34.562;22.188
2019-08-30 09:33:28;59.000;63.000;62.000;61.000;38.625;34.500;22.125
2019-08-30 09:33:44;59.000;63.000;62.000;61.000;38.750;34.562;22.125
2019-08-30 09:34:00;59.000;63.000;62.000;61.000;38.750;34.562;22.125
2019-08-30 09:34:17;59.000;63.000;62.000;61.000;38.688;34.625;22.125
2019-08-30 09:34:33;59.000;63.000;62.000;61.000;38.750;34.625;22.125
2019-08-30 09:34:49;59.000;63.000;62.000;61.000;38.812;34.562;22.125
2019-08-30 09:35:06;59.000;63.000;62.000;61.000;38.750;34.625;22.125
2019-08-30 09:35:22;59.000;64.000;62.000;61.000;38.812;34.688;22.125
2019-08-30 09:35:39;59.000;64.000;62.000;61.000;38.812;34.688;22.125
2019-08-30 09:35:55;59.000;64.000;62.000;61.000;38.812;34.688;22.125
2019-08-30 09:36:12;59.000;64.000;62.000;61.000;38.875;34.688;22.125
2019-08-30 09:36:29;59.000;64.000;63.000;61.000;38.875;34.688;22.125
2019-08-30 09:36:45;59.000;64.000;62.000;61.000;39.000;34.688;22.062
2019-08-30 09:37:01;59.000;64.000;62.000;61.000;39.000;34.688;22.000
2019-08-30 09:37:18;59.000;64.000;62.000;61.000;39.000;34.750;21.875
2019-08-30 09:37:34;59.000;64.000;62.000;61.000;38.938;34.750;21.875
2019-08-30 09:37:51;59.000;64.000;62.000;61.000;38.938;34.750;21.875
2019-08-30 09:38:07;60.000;64.000;62.000;61.000;39.000;34.750;21.812
2019-08-30 09:38:23;60.000;64.000;62.000;61.000;39.000;34.812;21.750
2019-08-30 09:38:40;59.000;64.000;63.000;61.000;38.938;34.812;21.750
2019-08-30 09:38:56;60.000;64.000;63.000;61.000;39.000;34.812;21.750
2019-08-30 09:39:12;60.000;64.000;63.000;61.000;39.000;34.812;21.688
2019-08-30 09:39:29;60.000;64.000;63.000;61.000;39.125;34.812;21.688
2019-08-30 09:39:45;60.000;64.000;63.000;61.000;39.062;34.875;21.688
2019-08-30 09:40:01;60.000;64.000;63.000;61.000;39.188;34.875;21.688
2019-08-30 09:40:18;60.000;64.000;63.000;61.000;39.125;34.875;21.688
2019-08-30 09:40:34;60.000;64.000;63.000;61.000;39.062;34.875;21.625
2019-08-30 09:40:50;60.000;64.000;63.000;61.000;39.188;34.875;21.625
2019-08-30 09:41:07;60.000;64.000;63.000;61.000;39.188;34.938;21.562
2019-08-30 09:41:23;60.000;64.000;63.000;61.000;39.188;34.875;21.562
2019-08-30 09:41:39;60.000;64.000;63.000;61.000;39.188;34.875;21.562
2019-08-30 09:41:56;60.000;64.000;63.000;61.000;39.125;34.938;21.500
2019-08-30 09:42:12;60.000;64.000;63.000;61.000;39.188;34.938;21.562
2019-08-30 09:42:28;60.000;64.000;63.000;62.000;39.125;34.938;21.500
2019-08-30 09:42:45;60.000;64.000;63.000;62.000;39.125;34.938;21.500
2019-08-30 09:43:01;61.000;64.000;63.000;62.000;39.125;34.938;21.438
2019-08-30 09:43:18;61.000;64.000;63.000;62.000;39.125;35.000;21.438
2019-08-30 09:43:34;61.000;64.000;63.000;61.000;39.188;35.000;21.438
2019-08-30 09:43:50;61.000;64.000;63.000;62.000;39.188;35.000;21.438
2019-08-30 09:44:06;61.000;64.000;63.000;62.000;39.250;35.000;21.438
2019-08-30 09:44:23;61.000;64.000;63.000;61.000;39.188;35.000;21.438
2019-08-30 09:44:39;61.000;64.000;63.000;61.000;39.062;35.062;21.375
2019-08-30 09:44:56;61.000;64.000;63.000;62.000;39.125;35.062;21.438
2019-08-30 09:45:12;61.000;64.000;63.000;61.000;39.125;35.062;21.375
2019-08-30 09:45:28;61.000;64.000;63.000;62.000;39.188;35.062;21.375
2019-08-30 09:45:45;61.000;64.000;63.000;62.000;39.125;35.062;21.438
2019-08-30 09:46:01;61.000;64.000;63.000;62.000;39.125;35.062;21.375
2019-08-30 09:46:18;60.000;64.000;63.000;62.000;39.250;35.062;21.375
2019-08-30 09:46:34;60.000;64.000;63.000;62.000;39.250;35.062;21.375
2019-08-30 09:46:50;60.000;65.000;63.000;62.000;39.250;35.125;21.375
2019-08-30 09:47:07;61.000;64.000;63.000;62.000;39.312;35.062;21.312
2019-08-30 09:47:23;61.000;65.000;63.000;62.000;39.312;35.125;21.312
2019-08-30 09:47:39;61.000;65.000;63.000;62.000;39.312;35.125;21.312
2019-08-30 09:47:56;61.000;64.000;63.000;62.000;39.312;35.125;21.312
2019-08-30 09:48:12;61.000;64.000;63.000;62.000;39.375;35.125;21.250
2019-08-30 09:48:29;61.000;65.000;63.000;62.000;39.375;35.188;21.250
2019-08-30 09:48:45;61.000;64.000;63.000;62.000;39.500;35.125;21.250
2019-08-30 09:49:02;61.000;64.000;63.000;62.000;39.438;35.125;21.250
2019-08-30 09:49:18;61.000;64.000;63.000;62.000;39.500;35.188;21.250
2019-08-30 09:49:34;61.000;65.000;63.000;62.000;39.562;35.125;21.250
2019-08-30 09:49:50;61.000;64.000;63.000;62.000;39.500;35.188;21.250
2019-08-30 09:50:07;61.000;65.000;63.000;62.000;39.375;35.188;21.250
2019-08-30 09:50:23;61.000;64.000;64.000;62.000;39.438;35.188;21.250
2019-08-30 09:50:39;61.000;64.000;64.000;62.000;39.375;35.188;21.250
2019-08-30 09:50:55;61.000;65.000;64.000;62.000;39.438;35.188;21.250
2019-08-30 09:51:12;61.000;65.000;63.000;62.000;39.438;35.188;21.250
2019-08-30 09:51:28;61.000;64.000;63.000;62.000;39.500;35.188;21.250
2019-08-30 09:51:44;61.000;65.000;64.000;62.000;39.562;35.188;21.188
2019-08-30 09:52:01;61.000;64.000;64.000;62.000;39.562;35.188;21.188
2019-08-30 09:52:17;61.000;64.000;64.000;62.000;39.500;35.188;21.188
2019-08-30 09:52:34;61.000;64.000;64.000;62.000;39.438;35.188;21.250
2019-08-30 09:52:50;61.000;65.000;64.000;62.000;39.438;35.188;21.188
2019-08-30 09:53:06;61.000;65.000;64.000;62.000;39.562;35.250;21.250
2019-08-30 09:53:23;61.000;65.000;64.000;62.000;39.500;35.250;21.250
2019-08-30 09:53:39;61.000;64.000;64.000;62.000;39.625;35.250;21.250
2019-08-30 09:53:55;61.000;65.000;64.000;62.000;39.562;35.250;21.250
2019-08-30 09:54:12;61.000;65.000;64.000;62.000;39.562;35.250;21.188
2019-08-30 09:54:29;61.000;65.000;63.000;62.000;39.500;35.250;21.188
2019-08-30 09:54:45;61.000;65.000;64.000;62.000;39.562;35.312;21.188
2019-08-30 09:55:01;61.000;65.000;64.000;62.000;39.500;35.250;21.188
2019-08-30 09:55:18;61.000;65.000;64.000;62.000;39.562;35.250;21.250
2019-08-30 09:55:34;61.000;65.000;64.000;62.000;39.625;35.250;21.188
2019-08-30 09:55:51;61.000;65.000;64.000;62.000;39.562;35.250;21.250
